dua_id,category,title,arabic_text,transliteration,english_meaning,urdu_meaning,source,reference,authenticity,occasion,data_source,verification_status
DUA-0001,Morning Adhkar,Waking Up,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,Alhamdu lillahil-ladhi ahyana ba'da ma amatana wa ilayhin-nushur,All praise is for Allah who gave us life after having taken it from us and unto Him is the resurrection.,تمام تعریف اللہ کے لیے جس نے ہمیں موت کے بعد زندگی دی اور اسی کی طرف اٹھنا ہے۔,Sahih Bukhari,6312,Sahih,Upon waking up,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Hudhaifa:When the Prophet (ﷺ) went to bed, he would say: ""Bismika amutu..."
DUA-0002,Morning Adhkar,Morning Protection,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ، وَالْحَمْدُ لِلَّهِ,"Asbahna wa asbahal-mulku lillah, walhamdu lillah","We have entered a new morning and with it all dominion belongs to Allah, and all praise is for Allah.",ہم نے صبح کی اور اللہ کی بادشاہت نے صبح کی، تمام تعریف اللہ کے لیے ہے۔,Sahih Muslim,2723,Sahih,Morning,Manual (Hisnul Muslim + Quran),✅ VERIFIED | A'isha (Allah be pleased with her) reported:The Messenger of Allah (ﷺ) did not o...
DUA-0003,Morning Adhkar,Sayyid ul Istighfar,اللَّهُمَّ أَنْتَ رَبِّي لَا إِلَهَ إِلَّا أَنْتَ، خَلَقْتَنِي وَأَنَا عَبْدُكَ,"Allahumma anta Rabbi la ilaha illa ant, khalaqtani wa ana abduk","O Allah, You are my Lord, none has the right to be worshipped except You, You created me and I am Your servant.",اے اللہ تو میرا رب ہے، تیرے سوا کوئی معبود نہیں، تو نے مجھے پیدا کیا اور میں تیرا بندہ ہوں۔,Sahih Bukhari,6306,Sahih,Morning,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Shaddad bin Aus:The Prophet (ﷺ) said ""The most superior way of asking f..."
DUA-0004,Evening Adhkar,Evening Remembrance,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ، وَالْحَمْدُ لِلَّهِ,"Amsayna wa amsal-mulku lillah, walhamdu lillah","We have entered the evening and with it all dominion belongs to Allah, and all praise is for Allah.",ہم نے شام کی اور اللہ کی بادشاہت نے شام کی، تمام تعریف اللہ کے لیے ہے۔,Sahih Muslim,2723,Sahih,Evening,Manual (Hisnul Muslim + Quran),✅ VERIFIED | A'isha (Allah be pleased with her) reported:The Messenger of Allah (ﷺ) did not o...
DUA-0005,Evening Adhkar,Evening Protection,اللَّهُمَّ بِكَ أَمْسَيْنَا، وَبِكَ أَصْبَحْنَا، وَبِكَ نَحْيَا، وَبِكَ نَمُوتُ وَإِلَيْكَ الْمَصِيرُ,"Allahumma bika amsayna, wa bika asbahna, wa bika nahya, wa bika namutu wa ilaykal masir","O Allah, by You we enter the evening and by You we enter the morning, by You we live and by You we die, and to You is the final return.",اے اللہ تیرے ساتھ ہم نے شام کی اور تیرے ساتھ صبح کی، تیرے ساتھ جیتے ہیں اور تیرے ساتھ مرتے ہیں اور تیری طرف لوٹنا ہے۔,Sunan Abu Dawud,5068,Sahih,Evening,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated AbuHurayrah: The Prophet (ﷺ) used to say in the morning: ""O Allah, by T..."
DUA-0006,Sleep,Before Sleeping,بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا,Bismika Allahumma amutu wa ahya,"In Your name O Allah, I die and I live.",اے اللہ تیرے نام پر مرتا اور جیتا ہوں۔,Sahih Bukhari,6324,Sahih,Before sleeping,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Hudhaifa:Whenever the Prophet (ﷺ) intended to go to bed, he would recit..."
DUA-0007,Sleep,Ayat ul Kursi Before Sleep,اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ الْحَيُّ الْقَيُّومُ,Allahu la ilaha illa huwal hayyul qayyum,"Allah — there is no deity except Him, the Ever-Living, the Sustainer of existence.",اللہ، اس کے سوا کوئی معبود نہیں، وہ ہمیشہ زندہ اور قائم رہنے والا ہے۔,Sahih Bukhari,2311,Sahih,Before sleeping,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Abu Huraira: Allah's Messenger (ﷺ) deputed me to keep Sadaqat (al-Fitr)...
DUA-0008,Sleep,Sleeping on Right Side,اللَّهُمَّ قِنِي عَذَابَكَ يَوْمَ تَبْعَثُ عِبَادَكَ,Allahumma qini adhabaka yawma tab'athu ibadak,"O Allah, protect me from Your punishment on the day You resurrect Your servants.",اے اللہ مجھے اپنے عذاب سے بچا جس دن تو اپنے بندوں کو اٹھائے گا۔,Sunan Abu Dawud,5045,Sahih,Before sleeping,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Hafsah, Ummul Mu'minin: When the Messenger of Allah (ﷺ) wanted to go to..."
DUA-0009,Food & Drink,Before Eating,بِسْمِ اللَّهِ,Bismillah,In the name of Allah.,اللہ کے نام سے۔,Sahih Bukhari,5376,Sahih,Before eating,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated `Umar bin Abi Salama:I was a boy under the care of Allah's Messenger (ﷺ...
DUA-0010,Food & Drink,After Eating,الْحَمْدُ لِلَّهِ الَّذِي أَطْعَمَنِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلَا قُوَّةٍ,Alhamdu lillahil-ladhi at'amani hadha wa razaqanihi min ghayri hawlin minni wa la quwwah,All praise is for Allah who fed me this and provided it for me without any might or power from myself.,تمام تعریف اللہ کے لیے جس نے مجھے یہ کھلایا اور مجھے رزق دیا بغیر کسی طاقت اور قوت کے میری طرف سے۔,Sunan Abu Dawud,4023,Sahih,After eating,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Mu'adh ibn Anas: The Prophet (ﷺ) said: If anyone eats food and then say...
DUA-0011,Food & Drink,Forgot Bismillah,بِسْمِ اللَّهِ أَوَّلَهُ وَآخِرَهُ,Bismillahi awwalahu wa akhirah,In the name of Allah at its beginning and at its end.,اللہ کے نام سے اس کے شروع میں اور آخر میں۔,Sunan Abu Dawud,3767,Sahih,If you forgot to say Bismillah before eating,Manual (Hisnul Muslim + Quran),"✅ VERIFIED | Narrated Aisha, Ummul Mu'minin: The Messenger of Allah (ﷺ) said: When one of you..."
DUA-0012,Food & Drink,After Drinking Milk,اللَّهُمَّ بَارِكْ لَنَا فِيهِ وَزِدْنَا مِنْهُ,Allahumma barik lana fihi wa zidna minh,"O Allah, bless it for us and give us more of it.",اے اللہ ہمارے لیے اس میں برکت دے اور ہمیں اس میں سے زیادہ دے۔,Sunan Abu Dawud,3730,Hasan,After drinking milk,Manual (Hisnul Muslim + Quran),✅ VERIFIED | Narrated Abdullah ibn Abbas: I was in the house of Maymunah. The Messenger of Al...
